frame,path,teacher_top1_conf,accepted,accepted_final,passed_base_gate,passed_motion_gate,passed_persistence_gate,persistence_count,temporal_iou,persistence_iou,center_shift_frac,area_ratio,num_pseudo_boxes_used,buffer_size,prototype_memory_size,update_applied,updates_this_frame,batch_size_used,det_loss,prototype_loss,total_loss,teacher_latency_ms,student_post_conf,student_post_latency_ms,update_latency_ms,frame_latency_ms
78,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00079.jpg,0.898203,1,1,1,1,1,7,0.963290,0.963290,0.002101,1.017260,4,7,7,1,1,4,9.628740,0.000000,9.628740,12.776,0.893180,15.876,545.686,586.619
79,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00080.jpg,0.889714,1,1,1,1,1,8,0.971321,0.971321,0.000552,1.013685,4,8,8,1,1,4,10.175329,0.000000,10.175329,12.431,0.881960,12.809,351.249,388.051
80,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00081.jpg,0.869077,1,1,1,1,1,9,0.946938,0.946938,0.006551,1.056030,4,9,9,1,1,4,9.611588,0.000000,9.611588,12.552,0.857636,12.812,617.988,655.145
81,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00082.jpg,0.667811,0,0,0,1,0,0,,,0.014579,1.059668,4,9,9,1,1,4,10.190468,0.000000,10.190468,12.610,0.643800,12.789,490.171,528.961
82,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00083.jpg,0.882916,0,0,1,1,0,1,0.873629,,0.018482,1.129139,4,9,9,1,1,4,10.545300,0.000000,10.545300,12.598,0.864574,13.095,658.880,697.746
83,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00084.jpg,0.864560,1,1,1,1,1,2,0.934203,0.934203,0.008248,1.044117,4,10,10,1,1,4,9.765980,0.000000,9.765980,12.976,0.838669,13.378,612.673,651.193
84,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00085.jpg,0.877060,1,1,1,1,1,3,0.987531,0.987531,0.000895,1.011150,4,11,11,1,1,4,10.205922,0.000000,10.205922,12.490,0.846770,13.456,658.753,698.185
85,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00086.jpg,0.874989,1,1,1,1,1,4,0.959796,0.959796,0.004767,1.037211,4,12,12,1,1,4,9.539227,0.000000,9.539227,13.639,0.841778,12.817,681.271,719.357
86,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00087.jpg,0.898762,1,1,1,1,1,5,0.969927,0.969927,0.000847,1.008884,4,13,13,1,1,4,11.659748,0.000000,11.659748,12.555,0.863697,12.806,542.073,579.272
87,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00088.jpg,0.898723,1,1,1,1,1,6,0.999783,0.999783,0.000021,1.000217,4,14,14,1,1,4,10.287079,0.000000,10.287079,12.667,0.858225,12.691,417.403,454.246
88,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00089.jpg,0.907152,1,1,1,1,1,7,0.924139,0.924139,0.009406,1.067169,4,15,15,1,1,4,10.043072,0.000000,10.043072,12.647,0.859613,13.048,630.492,668.396
89,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00090.jpg,0.907105,1,1,1,1,1,8,0.999958,0.999958,0.000005,1.000002,4,16,16,1,1,4,9.210946,0.000000,9.210946,13.123,0.852871,12.798,659.793,698.900
90,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00091.jpg,0.910264,1,1,1,1,1,9,0.990068,0.990068,0.000883,1.001834,4,17,17,1,1,4,9.031645,0.000000,9.031645,12.732,0.850103,12.681,535.897,573.400
91,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00092.jpg,0.887784,1,1,1,1,1,10,0.958730,0.958730,0.003644,1.013819,4,18,18,1,1,4,8.765805,0.000000,8.765805,12.650,0.821325,12.687,490.051,528.624
92,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00093.jpg,0.844322,1,1,1,1,1,11,0.963006,0.963006,0.002779,1.036754,4,19,19,1,1,4,9.680346,0.000000,9.680346,12.768,0.746746,13.331,371.753,409.742
93,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00094.jpg,0.898541,1,1,1,1,1,12,0.902943,0.902943,0.011671,1.081869,4,20,20,1,1,4,10.103836,0.000000,10.103836,12.795,0.828397,12.766,535.881,574.538
94,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00095.jpg,0.899422,1,1,1,1,1,13,0.942978,0.942978,0.005376,1.047013,4,21,21,1,1,4,9.474998,0.000000,9.474998,12.413,0.826912,12.618,342.504,380.920
95,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00096.jpg,0.910252,1,1,1,1,1,14,0.984819,0.984819,0.001493,1.003138,4,22,22,1,1,4,9.150152,0.000000,9.150152,15.954,0.836394,12.578,517.397,559.882
96,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00097.jpg,0.910747,1,1,1,1,1,15,0.960330,0.960330,0.002199,1.000255,4,23,23,1,1,4,9.044374,0.000000,9.044374,12.681,0.829411,13.001,551.181,588.826
97,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00098.jpg,0.910649,1,1,1,1,1,16,0.999966,0.999966,0.000003,1.000006,4,24,24,1,1,4,8.276288,0.000000,8.276288,13.086,0.826784,12.760,547.486,586.556
98,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00099.jpg,0.913675,1,1,1,1,1,17,0.967321,0.967321,0.002451,1.011402,4,25,25,1,1,4,8.309697,0.000000,8.309697,12.388,0.826450,12.628,475.261,513.562
99,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00100.jpg,0.913606,1,1,1,1,1,18,0.999951,0.999951,0.000003,1.000008,4,26,26,1,1,4,8.307675,0.000000,8.307675,12.679,0.825111,12.397,383.261,420.015
100,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00101.jpg,0.901599,1,1,1,1,1,19,0.974212,0.974212,0.002059,1.000126,4,27,27,1,1,4,7.996762,0.000000,7.996762,12.557,0.809976,12.636,512.923,549.687
101,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00102.jpg,0.896431,1,1,1,1,1,20,0.967140,0.967140,0.003664,1.014521,4,28,28,1,1,4,8.066596,0.000000,8.066596,12.813,0.802334,13.021,577.432,615.327
102,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00103.jpg,0.900428,1,1,1,1,1,21,0.962412,0.962412,0.001880,1.038328,4,29,29,1,1,4,8.814281,0.000000,8.814281,12.764,0.808926,12.947,711.746,751.126
103,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00104.jpg,0.816926,1,1,1,1,1,22,0.963186,0.963186,0.004456,1.028387,4,30,30,1,1,4,11.699414,0.000000,11.699414,12.984,0.703557,13.286,306.646,345.361
104,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00105.jpg,0.885693,1,1,1,1,1,23,0.951311,0.951311,0.005475,1.034148,4,31,31,1,1,4,10.168631,0.000000,10.168631,12.928,0.791001,13.263,342.915,381.552
105,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00106.jpg,0.885632,1,1,1,1,1,24,0.999933,0.999933,0.000005,1.000005,4,32,32,1,1,4,9.841869,0.000000,9.841869,12.927,0.792054,13.109,732.638,772.932
106,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00107.jpg,0.738372,0,0,0,1,0,0,,,0.005195,1.019668,4,32,32,1,1,4,11.574070,0.000000,11.574070,12.686,0.588423,13.320,559.559,597.753
107,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00108.jpg,0.821324,0,0,1,1,0,1,0.958731,,0.004047,1.018625,4,32,32,1,1,4,8.227798,0.000000,8.227798,13.059,0.709626,13.125,691.641,731.457
108,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00109.jpg,0.890947,1,1,1,1,1,2,0.928497,0.928497,0.007490,1.031953,4,32,33,1,1,4,9.605124,0.000000,9.605124,12.848,0.810676,14.030,743.249,782.522
109,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00110.jpg,0.846023,1,1,1,1,1,3,0.911334,0.911334,0.011919,1.050924,4,32,34,1,1,4,11.235113,0.000000,11.235113,12.889,0.761397,13.179,372.091,411.811
110,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00111.jpg,0.856263,1,1,1,1,1,4,0.877479,0.877479,0.013905,1.124453,4,32,35,1,1,4,13.026236,0.000000,13.026236,12.798,0.749168,13.018,629.310,667.289
111,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00112.jpg,0.880840,1,1,1,1,1,5,0.936555,0.936555,0.004134,1.024698,4,32,36,1,1,4,10.537688,0.000000,10.537688,12.884,0.790399,13.416,460.812,499.113
112,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00113.jpg,0.900349,1,1,1,1,1,6,0.958765,0.958765,0.002752,1.026371,4,32,37,1,1,4,11.184063,0.000000,11.184063,13.093,0.813030,13.311,581.781,620.505
113,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00114.jpg,0.896858,1,1,1,1,1,7,0.923894,0.923894,0.007408,1.047097,4,32,38,1,1,4,10.359142,0.000000,10.359142,13.336,0.819112,13.494,505.798,544.447
114,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00115.jpg,0.905200,1,1,1,1,1,8,0.933097,0.933097,0.005835,1.042047,4,32,39,1,1,4,11.405899,0.000000,11.405899,13.104,0.833668,12.721,597.672,637.194
115,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00116.jpg,0.905165,1,1,1,1,1,9,0.999928,0.999928,0.000005,1.000047,4,32,40,1,1,4,11.371479,0.000000,11.371479,13.005,0.833934,15.839,466.206,508.767
