frame,path,teacher_conf,accepted,accepted_final,passed_base_gate,passed_motion_gate,passed_persistence_gate,teacher_num_candidates,teacher_selected_rank,teacher_selected_score,teacher_selected_score_conf,teacher_selected_score_temporal,persistence_count,temporal_iou,persistence_iou,center_shift_frac,area_ratio,num_pseudo_boxes_used,buffer_size,update_event_triggered,update_applied,updates_this_frame,batch_size_used,det_loss,total_loss,coverage_buffer_size,coverage_entries_added,coverage_entries_sampled,coverage_loss,coverage_region_entries_skipped,coverage_region_mean_student_conf,coverage_region_mean_teacher_conf,coverage_region_mean_conf_gap,teacher_latency_ms,student_post_conf,student_post_latency_ms,update_latency_ms,frame_latency_ms
52,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00053.jpg,0.630266,0,0,0,1,0,2,1,1.630266,0.630266,1.000000,0,,,0.000000,1.000000,0,0,0,0,0,0,,,0,0,0,,0,,,,13.253,0.630266,13.156,0.000,43.638
53,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00054.jpg,0.380025,0,0,0,1,0,2,2,0.810703,0.380025,0.430677,0,,,0.039806,1.366885,0,0,0,0,0,0,,,0,0,0,,0,,,,12.923,0.509901,13.062,0.000,45.241
54,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00055.jpg,0.757477,0,0,0,1,0,2,1,0.844264,0.757477,0.086787,0,,,0.107239,1.952091,0,0,0,0,0,0,,,0,0,0,,0,,,,12.879,0.757477,13.146,0.000,39.276
55,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00056.jpg,0.473823,0,0,0,1,0,2,2,0.817180,0.473823,0.343356,0,,,0.069026,1.374579,0,0,0,0,0,0,,,0,0,0,,0,,,,13.105,0.482319,12.953,0.000,35.622
56,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00057.jpg,0.631844,0,0,0,1,0,2,1,1.567054,0.631844,0.935210,0,,,0.004211,1.006064,0,0,0,0,0,0,,,0,0,0,,0,,,,13.020,0.631844,12.985,0.000,43.373
57,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00058.jpg,0.631844,0,0,0,1,0,2,1,1.631844,0.631844,1.000000,0,,,0.000000,1.000000,0,0,0,0,0,0,,,0,0,0,,0,,,,13.070,0.631844,13.054,0.000,36.883
58,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00059.jpg,0.672385,0,0,0,1,0,2,1,1.583768,0.672385,0.911383,0,,,0.006752,1.016723,0,0,0,0,0,0,,,0,0,0,,0,,,,13.043,0.672385,13.148,0.000,37.752
59,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00060.jpg,0.737344,0,0,0,1,0,2,1,1.650597,0.737344,0.913254,0,,,0.006004,1.026456,0,0,0,0,0,0,,,0,0,0,,0,,,,12.850,0.737344,12.138,0.000,35.910
60,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00061.jpg,0.821736,0,0,0,1,0,2,1,0.877333,0.821736,0.055596,0,0.495097,,0.130515,2.015178,0,0,0,0,0,0,,,0,0,0,,0,,,,13.293,0.821736,13.175,0.000,43.948
61,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00062.jpg,0.821736,0,0,1,1,0,2,1,1.821736,0.821736,1.000000,1,1.000000,,0.000000,1.000000,0,0,0,0,0,0,,,0,0,0,,0,,,,13.168,0.821736,12.906,0.000,35.717
62,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00063.jpg,0.881057,1,1,1,1,1,2,1,1.761127,0.881057,0.880070,2,0.936009,0.936009,0.006072,1.045485,0,1,0,0,0,0,,,0,0,0,,0,,,,12.648,0.881057,13.553,0.000,41.285
63,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00064.jpg,0.757122,0,0,0,1,0,2,1,1.687637,0.757122,0.930514,0,,,0.004011,1.023054,0,1,0,0,0,0,,,0,0,0,,0,,,,13.581,0.757122,13.275,0.000,41.214
64,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00065.jpg,0.539118,0,0,0,0,0,1,1,0.539118,0.539118,0.000000,0,,,0.321684,6.409406,0,1,0,0,0,0,,,0,0,0,,0,,,,13.523,0.539118,12.974,0.000,37.275
65,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00066.jpg,0.821308,0,0,0,0,0,2,1,0.821308,0.821308,0.000000,0,0.058369,,0.340859,5.742130,0,1,0,0,0,0,,,0,0,0,,0,,,,13.866,0.821308,13.640,0.000,38.506
66,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00067.jpg,0.736399,0,0,0,1,0,2,1,1.555722,0.736399,0.819323,0,,,0.009668,1.091031,0,1,0,0,0,0,,,0,0,0,,0,,,,13.727,0.736399,13.647,0.000,39.835
67,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00068.jpg,0.852535,0,0,1,1,0,2,1,1.796501,0.852535,0.943966,1,0.967504,,0.002862,1.015243,0,1,0,0,0,0,,,0,0,0,,0,,,,13.689,0.852535,13.708,0.000,38.888
68,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00069.jpg,0.389035,0,0,0,1,0,2,2,0.592265,0.389035,0.203230,0,,,0.083786,1.635091,0,1,0,0,0,0,,,0,0,0,,0,,,,13.279,0.420537,13.500,0.000,37.687
69,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00070.jpg,0.436161,0,0,0,1,0,2,1,0.792818,0.436161,0.356656,0,,,0.073209,1.348220,0,1,0,0,0,0,,,0,0,0,,0,,,,13.602,0.436161,13.475,0.000,38.175
70,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00071.jpg,0.436161,0,0,0,1,0,2,1,1.436161,0.436161,1.000000,0,,,0.000000,1.000000,0,1,0,0,0,0,,,0,0,0,,0,,,,13.513,0.436161,12.918,0.000,35.866
71,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00072.jpg,0.753768,0,0,0,1,0,2,1,0.795014,0.753768,0.041246,0,,,0.143928,2.044422,0,1,0,0,0,0,,,0,0,0,,0,,,,17.506,0.753768,13.416,0.000,41.038
72,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00073.jpg,0.840979,0,0,1,1,0,2,1,1.730676,0.840979,0.889698,1,0.949319,,0.005644,1.053386,0,1,0,0,0,0,,,0,0,0,,0,,,,14.405,0.840979,13.424,0.000,37.102
73,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00074.jpg,0.877290,1,1,1,1,1,2,1,1.683443,0.877290,0.806153,2,0.911914,0.911914,0.011244,1.094974,0,2,0,0,0,0,,,0,0,0,,0,,,,13.589,0.877290,13.543,0.000,37.734
74,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00075.jpg,0.868298,1,1,1,1,1,2,1,1.712469,0.868298,0.844171,3,0.926202,0.926202,0.009506,1.064629,0,3,0,0,0,0,,,0,0,0,,0,,,,13.095,0.868298,13.360,0.000,38.064
75,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00076.jpg,0.890742,1,1,1,1,1,2,1,1.738323,0.890742,0.847581,4,0.930610,0.930610,0.008315,1.074564,4,4,1,1,1,4,10.519547,10.519547,0,0,0,0.000000,0,,,,13.548,0.890762,18.013,698.349,743.735
76,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00077.jpg,0.887856,1,1,1,1,1,2,1,1.793793,0.887856,0.905937,5,0.952988,0.952988,0.003409,1.049331,4,5,1,1,1,4,10.346211,10.346211,0,0,0,0.000000,0,,,,14.363,0.888020,14.461,429.707,477.732
77,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00078.jpg,0.887892,1,1,1,1,1,2,1,1.887852,0.887892,0.999960,6,0.999971,0.999971,0.000002,1.000002,4,6,1,1,1,4,10.036182,10.036182,0,0,0,0.000000,0,,,,14.549,0.888354,14.463,807.874,853.429
78,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00079.jpg,0.898209,1,1,1,1,1,2,1,1.840612,0.898209,0.942402,7,0.963386,0.963386,0.002093,1.017154,4,7,1,1,1,4,9.571039,9.571039,0,0,0,0.000000,0,,,,14.620,0.899742,14.516,592.328,637.997
79,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00080.jpg,0.889744,1,1,1,1,1,2,1,1.849492,0.889744,0.959748,8,0.971295,0.971295,0.000553,1.013722,4,8,1,1,1,4,10.223709,10.223709,0,0,0,0.000000,0,,,,13.886,0.891306,14.192,383.939,427.923
80,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00081.jpg,0.869082,1,1,1,1,1,2,1,1.750673,0.869082,0.881591,9,0.946890,0.946890,0.006560,1.056083,4,9,1,1,1,4,9.522706,9.522706,0,0,0,0.000000,0,,,,14.070,0.870700,14.457,677.817,720.921
81,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00082.jpg,0.667866,0,0,0,1,0,2,1,1.447208,0.667866,0.779343,0,,,0.014550,1.059440,4,9,1,1,1,4,10.173769,10.173769,0,0,0,0.000000,0,,,,14.065,0.674989,14.341,544.680,587.077
82,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00083.jpg,0.882964,0,0,1,1,0,2,1,1.607695,0.882964,0.724731,1,0.873662,,0.018473,1.129075,4,9,1,1,1,4,10.241793,10.241793,0,0,0,0.000000,0,,,,14.042,0.887021,14.361,710.186,756.415
83,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00084.jpg,0.864647,1,1,1,1,1,1,1,1.733901,0.864647,0.869254,2,0.934159,0.934159,0.008254,1.044138,4,10,1,1,1,4,9.639630,9.639630,0,0,0,0.000000,0,,,,13.882,0.866789,14.323,683.623,728.203
84,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00085.jpg,0.877171,1,1,1,1,1,1,1,1.852796,0.877171,0.975625,3,0.987448,0.987448,0.000905,1.011223,4,11,1,1,1,4,10.316410,10.316410,0,0,0,0.000000,0,,,,14.022,0.880018,13.833,722.061,766.172
85,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00086.jpg,0.875146,1,1,1,1,1,2,1,1.788912,0.875146,0.913766,4,0.959832,0.959832,0.004762,1.037160,4,12,1,1,1,4,9.822178,9.822178,0,0,0,0.000000,0,,,,14.045,0.881157,14.313,734.485,779.875
86,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00087.jpg,0.898922,1,1,1,1,1,2,1,1.859099,0.898922,0.960176,5,0.969988,0.969988,0.000843,1.008886,4,13,1,1,1,4,11.158026,11.158026,0,0,0,0.000000,0,,,,15.863,0.905768,14.397,593.406,640.143
87,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00088.jpg,0.898876,1,1,1,1,1,2,1,1.898615,0.898876,0.999738,6,0.999861,0.999861,0.000013,1.000083,4,14,1,1,1,4,10.613665,10.613665,0,0,0,0.000000,0,,,,14.117,0.906437,14.434,468.948,513.836
88,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00089.jpg,0.907415,1,1,1,1,1,2,1,1.749017,0.907415,0.841602,7,0.924300,0.924300,0.009382,1.066985,4,15,1,1,1,4,9.981167,9.981167,0,0,0,0.000000,0,,,,14.262,0.917673,14.288,679.899,723.716
89,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00090.jpg,0.907423,1,1,1,1,1,2,1,1.907096,0.907423,0.999673,8,0.999854,0.999854,0.000018,1.000133,4,16,1,1,1,4,9.355129,9.355129,0,0,0,0.000000,0,,,,13.843,0.918457,13.800,731.852,775.643
