frame,path,teacher_conf,accepted,accepted_final,passed_base_gate,passed_motion_gate,passed_persistence_gate,teacher_num_candidates,teacher_selected_rank,teacher_selected_score,teacher_selected_score_conf,teacher_selected_score_temporal,teacher_selected_score_memory,persistence_count,temporal_iou,persistence_iou,center_shift_frac,area_ratio,num_pseudo_boxes_used,buffer_size,update_event_triggered,update_applied,updates_this_frame,batch_size_used,det_loss,total_loss,teacher_latency_ms,student_post_conf,student_post_latency_ms,update_latency_ms,frame_latency_ms
54,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00055.jpg,0.757477,0,0,0,1,0,2,1,0.844264,0.757477,0.086787,,0,,,0.107239,1.952091,0,0,0,0,0,0,,,12.803,0.757477,12.724,0.000,36.644
55,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00056.jpg,0.473823,0,0,0,1,0,2,2,0.817180,0.473823,0.343356,,0,,,0.069026,1.374579,0,0,0,0,0,0,,,13.242,0.482319,13.058,0.000,37.230
56,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00057.jpg,0.631844,0,0,0,1,0,2,1,1.567054,0.631844,0.935210,,0,,,0.004211,1.006064,0,0,0,0,0,0,,,12.890,0.631844,12.071,0.000,34.817
57,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00058.jpg,0.631844,0,0,0,1,0,2,1,1.631844,0.631844,1.000000,,0,,,0.000000,1.000000,0,0,0,0,0,0,,,13.632,0.631844,13.543,0.000,36.755
58,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00059.jpg,0.672385,0,0,0,1,0,2,1,1.583768,0.672385,0.911383,,0,,,0.006752,1.016723,0,0,0,0,0,0,,,12.654,0.672385,12.220,0.000,35.810
59,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00060.jpg,0.737344,0,0,0,1,0,2,1,1.650597,0.737344,0.913254,,0,,,0.006004,1.026456,0,0,0,0,0,0,,,13.897,0.737344,12.998,0.000,36.260
60,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00061.jpg,0.821736,0,0,0,1,0,2,1,0.877333,0.821736,0.055596,,0,0.495097,,0.130515,2.015178,0,0,0,0,0,0,,,12.621,0.821736,11.962,0.000,33.312
61,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00062.jpg,0.821736,0,0,1,1,0,2,1,1.821736,0.821736,1.000000,,1,1.000000,,0.000000,1.000000,0,0,0,0,0,0,,,13.666,0.821736,12.602,0.000,37.361
62,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00063.jpg,0.881057,1,1,1,1,1,2,1,1.761127,0.881057,0.880070,,2,0.936009,0.936009,0.006072,1.045485,0,1,0,0,0,0,,,12.807,0.881057,12.450,0.000,34.243
63,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00064.jpg,0.757122,0,0,0,1,0,2,1,1.687637,0.757122,0.930514,,0,,,0.004011,1.023054,0,1,0,0,0,0,,,13.623,0.757122,13.281,0.000,38.172
64,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00065.jpg,0.539118,0,0,0,0,0,1,1,0.539118,0.539118,0.000000,,0,,,0.321684,6.409406,0,1,0,0,0,0,,,14.517,0.539118,13.241,0.000,37.925
65,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00066.jpg,0.821308,0,0,0,0,0,2,1,0.821308,0.821308,0.000000,,0,0.058369,,0.340859,5.742130,0,1,0,0,0,0,,,14.198,0.821308,13.208,0.000,37.121
66,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00067.jpg,0.736399,0,0,0,1,0,2,1,1.555722,0.736399,0.819323,,0,,,0.009668,1.091031,0,1,0,0,0,0,,,12.986,0.736399,12.057,0.000,36.262
67,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00068.jpg,0.852535,0,0,1,1,0,2,1,1.796501,0.852535,0.943966,,1,0.967504,,0.002862,1.015243,0,1,0,0,0,0,,,15.701,0.852535,14.132,0.000,42.799
68,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00069.jpg,0.389035,0,0,0,1,0,2,2,0.592265,0.389035,0.203230,,0,,,0.083786,1.635091,0,1,0,0,0,0,,,12.885,0.420537,13.110,0.000,34.519
69,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00070.jpg,0.436161,0,0,0,1,0,2,1,0.792818,0.436161,0.356656,,0,,,0.073209,1.348220,0,1,0,0,0,0,,,13.177,0.436161,13.151,0.000,37.532
70,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00071.jpg,0.436161,0,0,0,1,0,2,1,1.436161,0.436161,1.000000,,0,,,0.000000,1.000000,0,1,0,0,0,0,,,12.331,0.436161,12.319,0.000,35.116
71,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00072.jpg,0.753768,0,0,0,1,0,2,1,0.795014,0.753768,0.041246,,0,,,0.143928,2.044422,0,1,0,0,0,0,,,14.466,0.753768,12.849,0.000,39.666
72,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00073.jpg,0.840979,0,0,1,1,0,2,1,1.730676,0.840979,0.889698,,1,0.949319,,0.005644,1.053386,0,1,0,0,0,0,,,13.267,0.840979,12.333,0.000,36.223
