frame,path,teacher_conf,accepted,accepted_final,passed_base_gate,passed_motion_gate,passed_persistence_gate,teacher_num_candidates,teacher_selected_rank,teacher_selected_score,teacher_selected_score_conf,teacher_selected_score_temporal,persistence_count,temporal_iou,persistence_iou,center_shift_frac,area_ratio,num_pseudo_boxes_used,buffer_size,update_event_triggered,update_applied,updates_this_frame,batch_size_used,det_loss,total_loss,teacher_latency_ms,student_post_conf,student_post_latency_ms,update_latency_ms,frame_latency_ms
71,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00072.jpg,0.753768,0,0,0,1,0,2,1,0.795014,0.753768,0.041246,0,,,0.143928,2.044422,0,1,0,0,0,0,,,13.042,0.753768,11.889,0.000,34.087
72,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00073.jpg,0.840979,0,0,1,1,0,2,1,1.730676,0.840979,0.889698,1,0.949319,,0.005644,1.053386,0,1,0,0,0,0,,,12.158,0.840979,12.099,0.000,37.819
73,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00074.jpg,0.877290,1,1,1,1,1,2,1,1.683443,0.877290,0.806153,2,0.911914,0.911914,0.011244,1.094974,0,2,0,0,0,0,,,11.892,0.877290,11.867,0.000,33.773
74,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00075.jpg,0.868298,1,1,1,1,1,2,1,1.712469,0.868298,0.844171,3,0.926202,0.926202,0.009506,1.064629,0,3,0,0,0,0,,,11.529,0.868298,11.696,0.000,34.935
75,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00076.jpg,0.890742,1,1,1,1,1,2,1,1.738323,0.890742,0.847581,4,0.930610,0.930610,0.008315,1.074564,4,4,1,1,1,4,10.519547,10.519547,11.826,0.890328,16.307,651.911,692.443
76,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00077.jpg,0.887858,1,1,1,1,1,2,1,1.793803,0.887858,0.905945,5,0.952992,0.952992,0.003409,1.049326,4,5,1,1,1,4,10.319526,10.319526,12.667,0.886370,13.029,398.788,440.936
77,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00078.jpg,0.887875,1,1,1,1,1,2,1,1.887655,0.887875,0.999780,6,0.999895,0.999895,0.000011,1.000087,4,6,1,1,1,4,10.039066,10.039066,13.114,0.884818,12.758,745.436,786.425
78,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00079.jpg,0.898203,1,1,1,1,1,2,1,1.840404,0.898203,0.942201,7,0.963290,0.963290,0.002101,1.017260,4,7,1,1,1,4,9.628740,9.628740,12.681,0.893180,12.913,540.889,580.552
79,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00080.jpg,0.889714,1,1,1,1,1,2,1,1.849516,0.889714,0.959802,8,0.971321,0.971321,0.000552,1.013685,4,8,1,1,1,4,10.175329,10.175329,12.319,0.881960,13.438,352.599,390.035
80,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00081.jpg,0.869077,1,1,1,1,1,2,1,1.750785,0.869077,0.881708,9,0.946938,0.946938,0.006551,1.056030,4,9,1,1,1,4,9.611588,9.611588,12.453,0.857636,12.663,618.223,657.289
