frame,path,teacher_conf,accepted,accepted_final,passed_base_gate,passed_motion_gate,passed_persistence_gate,teacher_num_candidates,teacher_selected_rank,teacher_selected_score,teacher_selected_score_conf,teacher_selected_score_temporal,persistence_count,temporal_iou,persistence_iou,center_shift_frac,area_ratio,num_pseudo_boxes_used,buffer_size,update_event_triggered,update_applied,updates_this_frame,batch_size_used,det_loss,total_loss,teacher_latency_ms,student_post_conf,student_post_latency_ms,update_latency_ms,frame_latency_ms
60,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00061.jpg,0.821736,0,0,0,1,0,2,1,0.877333,0.821736,0.055596,0,0.495097,,0.130515,2.015178,0,0,0,0,0,0,,,13.194,0.821736,13.383,0.000,42.017
61,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00062.jpg,0.821736,0,0,1,1,0,2,1,1.821736,0.821736,1.000000,1,1.000000,,0.000000,1.000000,0,0,0,0,0,0,,,15.016,0.821736,13.195,0.000,40.062
62,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00063.jpg,0.881057,1,1,1,1,1,2,1,1.761127,0.881057,0.880070,2,0.936009,0.936009,0.006072,1.045485,0,1,0,0,0,0,,,12.948,0.881057,14.092,0.000,40.154
63,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00064.jpg,0.757122,0,0,0,1,0,2,1,1.687637,0.757122,0.930514,0,,,0.004011,1.023054,0,1,0,0,0,0,,,13.197,0.757122,13.029,0.000,36.663
64,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00065.jpg,0.539118,0,0,0,0,0,1,1,0.539118,0.539118,0.000000,0,,,0.321684,6.409406,0,1,0,0,0,0,,,13.058,0.539118,12.872,0.000,41.170
65,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00066.jpg,0.821308,0,0,0,0,0,2,1,0.821308,0.821308,0.000000,0,0.058369,,0.340859,5.742130,0,1,0,0,0,0,,,13.847,0.821308,13.571,0.000,38.997
66,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00067.jpg,0.736399,0,0,0,1,0,2,1,1.555722,0.736399,0.819323,0,,,0.009668,1.091031,0,1,0,0,0,0,,,13.080,0.736399,13.158,0.000,39.134
67,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00068.jpg,0.852535,0,0,1,1,0,2,1,1.796501,0.852535,0.943966,1,0.967504,,0.002862,1.015243,0,1,0,0,0,0,,,13.111,0.852535,13.278,0.000,36.010
68,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00069.jpg,0.389035,0,0,0,1,0,2,2,0.592265,0.389035,0.203230,0,,,0.083786,1.635091,0,1,0,0,0,0,,,13.230,0.420537,12.934,0.000,43.023
69,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00070.jpg,0.436161,0,0,0,1,0,2,1,0.792818,0.436161,0.356656,0,,,0.073209,1.348220,0,1,0,0,0,0,,,13.159,0.436161,13.032,0.000,35.547
70,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00071.jpg,0.436161,0,0,0,1,0,2,1,1.436161,0.436161,1.000000,0,,,0.000000,1.000000,0,1,0,0,0,0,,,13.145,0.436161,13.119,0.000,39.031
71,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00072.jpg,0.753768,0,0,0,1,0,2,1,0.795014,0.753768,0.041246,0,,,0.143928,2.044422,0,1,0,0,0,0,,,13.125,0.753768,13.051,0.000,37.386
72,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00073.jpg,0.840979,0,0,1,1,0,2,1,1.730676,0.840979,0.889698,1,0.949319,,0.005644,1.053386,0,1,0,0,0,0,,,12.526,0.840979,12.790,0.000,42.262
73,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00074.jpg,0.877290,1,1,1,1,1,2,1,1.683443,0.877290,0.806153,2,0.911914,0.911914,0.011244,1.094974,0,2,0,0,0,0,,,13.081,0.877290,13.049,0.000,37.007
74,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00075.jpg,0.868298,1,1,1,1,1,2,1,1.712469,0.868298,0.844171,3,0.926202,0.926202,0.009506,1.064629,0,3,0,0,0,0,,,13.005,0.868298,12.991,0.000,36.964
75,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00076.jpg,0.890742,1,1,1,1,1,2,1,1.738323,0.890742,0.847581,4,0.930610,0.930610,0.008315,1.074564,4,4,1,1,1,4,10.519547,10.519547,12.686,0.890755,18.003,701.124,745.853
76,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00077.jpg,0.887852,1,1,1,1,1,2,1,1.793785,0.887852,0.905933,5,0.952986,0.952986,0.003409,1.049334,4,5,1,1,1,4,10.357662,10.357662,14.080,0.887881,14.164,428.600,473.049
