frame,path,active_conf,active_latency_ms,shadow_teacher_conf,shadow_student_conf,shadow_teacher_latency_ms,shadow_student_latency_ms,shadow_update_latency_ms,shadow_update_applied,shadow_updates_this_frame,shadow_buffer_size,shadow_accepted,update_paused,throttle_weird_rate,throttle_box_jump_rate,active_weights,active_model_kind,promotion_policy
57,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00058.jpg,0.9798989295959473,12.373311996459961,0.8300352692604065,0.9798989295959473,12.679391860961914,12.846719741821289,0.0,0,0,0,0,1,0.7719298005104065,0.05263157933950424,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
58,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00059.jpg,0.974173367023468,15.598176002502441,0.7969123125076294,0.974173367023468,12.440832138061523,12.827679634094238,0.0,0,0,0,0,1,0.7586206793785095,0.0517241396009922,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
59,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00060.jpg,0.9800453782081604,13.083392143249512,0.793636679649353,0.9800453782081604,15.05884838104248,12.746720314025879,0.0,0,0,0,0,1,0.7457627058029175,0.050847455859184265,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
60,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00061.jpg,0.9770848751068115,14.361984252929688,0.841771125793457,0.9770848751068115,12.922911643981934,12.63980770111084,0.0,0,0,0,0,1,0.7333333492279053,0.05000000074505806,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
61,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00062.jpg,0.9770848751068115,12.832287788391113,0.841771125793457,0.9770848751068115,12.823936462402344,12.871328353881836,0.0,0,0,0,0,1,0.7213114500045776,0.04918032884597778,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
62,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00063.jpg,0.977957010269165,14.06281566619873,0.7797938585281372,0.977957010269165,15.258975982666016,12.794816017150879,0.0,0,0,0,0,1,0.7096773982048035,0.04838709533214569,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
63,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00064.jpg,0.969373881816864,12.80345630645752,0.7855866551399231,0.969373881816864,14.204000473022461,12.722463607788086,0.0,0,0,0,0,1,0.6984127163887024,0.0476190485060215,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
64,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00065.jpg,0.9440449476242065,12.57254409790039,0.8013994097709656,0.9440449476242065,12.93500804901123,15.445247650146484,0.0,0,0,0,0,1,0.6875,0.046875,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
65,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00066.jpg,0.9897200465202332,14.36025619506836,0.7937415242195129,0.9897200465202332,12.603327751159668,12.770655632019043,0.0,0,0,0,0,1,0.6769230961799622,0.04615384712815285,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
66,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00067.jpg,0.987663209438324,12.749695777893066,0.7310371994972229,0.987663209438324,13.11689567565918,13.484288215637207,0.0,0,0,0,0,1,0.6666666865348816,0.04545454680919647,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
67,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00068.jpg,0.9938668608665466,13.143839836120605,0.7473956346511841,0.9938668608665466,13.327103614807129,16.675424575805664,0.0,0,0,0,0,1,0.6567164063453674,0.04477611929178238,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
68,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00069.jpg,0.9666255116462708,12.940095901489258,0.6499245762825012,0.9666255116462708,12.747167587280273,12.511712074279785,0.0,0,0,0,0,1,0.6470588445663452,0.04411764815449715,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
69,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00070.jpg,0.9711724519729614,12.230175971984863,0.7062599658966064,0.9711724519729614,12.455936431884766,12.432543754577637,0.0,0,0,0,0,1,0.6376811861991882,0.043478261679410934,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
